IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,College_Num
107,6.61,6.28,8,0,8,8,4,0,30
97,5.52,5.37,8,0,7,8,0,0,61
109,5.36,5.83,9,0,3,1,1,0,36
122,5.47,5.75,6,1,1,6,1,0,55
96,7.91,7.69,7,0,8,10,2,0,4
96,5.26,5.32,7,0,5,8,0,0,15
123,6.68,6.58,5,0,7,8,2,1,71
111,8.77,8.76,7,0,3,1,2,1,96
92,6.47,6.33,9,0,7,8,5,0,97
108,8.82,8.6,4,0,5,9,1,0,57
93,8.73,8.9,2,1,5,6,0,0,63
93,6.23,6.51,8,0,5,7,4,0,77
103,8.64,9.01,7,1,8,6,1,0,64
71,8.74,8.4,6,0,0,5,2,0,17
74,6.99,7.31,7,0,0,1,2,0,53
91,6.05,5.8,3,0,4,2,3,0,40
84,7.61,7.54,6,0,0,10,0,0,70
104,9.61,10.01,10,1,9,2,4,0,50
86,8.2,8.15,7,0,8,9,4,1,68
78,5.86,5.56,7,1,3,6,2,0,15
121,8.41,8.07,5,1,1,3,3,1,72
96,7.14,7.11,3,1,2,3,3,0,34
101,7.96,8.22,2,1,8,10,0,0,30
78,8.67,9.17,7,1,10,10,2,1,87
91,7.57,7.86,4,1,7,2,2,0,73
101,9.07,9.45,2,0,2,7,2,0,24
82,8.61,8.86,8,0,7,1,0,0,8
105,8.08,8.48,2,0,3,1,4,0,57
90,5.75,5.33,6,1,5,10,1,0,70
95,9.18,9.61,4,1,3,3,3,0,25
90,9.68,9.58,9,1,10,1,4,0,77
127,5.68,6.1,5,0,4,3,1,0,34
99,7.44,7.02,4,0,9,9,4,0,25
84,6.29,6.51,8,0,8,7,4,0,18
112,8.77,9.01,3,1,1,9,4,1,73
81,8.61,9.11,9,1,8,7,4,0,97
103,5.7,5.97,8,1,2,9,2,0,70
70,9.39,9.27,8,0,4,3,4,0,14
80,5.9,5.96,10,1,6,7,1,0,6
102,8.99,8.86,5,0,1,6,1,0,82
111,7.28,6.98,1,0,3,2,3,0,90
102,6.64,6.39,10,0,0,6,5,0,36
98,5.79,5.51,9,0,10,3,0,0,36
95,5.84,5.89,2,1,2,2,1,0,75
77,8.31,8.72,1,1,5,5,1,0,18
89,7.75,8.16,6,1,1,5,1,0,15
93,5.61,5.16,1,1,7,2,1,0,94
115,5.56,5.14,10,1,6,3,0,0,89
